Team,fgm/fga,fg%,ftm/fta,ft%,3ptm,pts,reb,ast,stl,blk,to
3-28 Patriots,196/458,.428,92/127,.724,51,535,268,112,39,21,68
I’m a Fungui,212/480,.442,110/141,.780,52,586,192,114,27,10,85
LeVertigo,178/400,.445,90/105,.857,49,495,198,91,23,28,59
Johnny's drug rehab,206/442,.466,107/125,.856,55,574,209,129,29,34,66
Emory Eagles,195/420,.464,67/83,.807,62,519,152,110,33,14,45
ZosBalls(RunbyLavar),249/532,.468,105/131,.802,72,675,196,154,33,19,68
2016 Cavaliers,207/437,.474,101/115,.878,58,573,235,106,20,9,67
Eugene's Team,134/262,.511,59/81,.728,48,375,135,100,29,9,38
Jun Ho's Juicy Team,213/441,.483,107/138,.775,59,592,246,116,29,22,61
Nunn the wiser,192/373,.515,81/113,.717,28,493,198,85,38,22,49
Suwanee Pigeons,186/390,.477,111/135,.822,46,529,194,138,33,15,70
